mlb_playerID,kbo_playerID,npb_playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast,mlb_birthCountry,mlb_weight,mlb_height,mlb_bats,mlb_throws,mlb_nameFirst,mlb_nameLast,npb_birthCountry,npb_weight,npb_height,npb_bats,npb_throws,npb_nameFirst,npb_nameLast,kbo_birthCountry,kbo_weight,kbo_height,kbo_bats,kbo_throws,kbo_nameFirst,kbo_nameLast
hornebo01,,103696,1957,8,6,Bob,Horner,USA,195,73,R,R,Bob,Horner,United States,194,73,R,R,Bob,Horner,,,,,,,
hoseydw01,,104492,1967,3,11,Dwayne,Hosey,USA,175,70,B,R,Dwayne,Hosey,United States,174,70,B,R,Dwayne,Hosey,,,,,,,
hosteda01,,103615,1956,3,27,Dave,Hostetler,USA,215,76,R,R,Dave,Hostetler,United States,216,76,R,R,Dave,Hostetler,,,,,,,
houltdj01,64658,105566,1979,8,12,D. J.,Houlton,USA,235,76,R,R,D. J.,Houlton,United States,236,76,R,R,D.J.,Houlton,United States,236,76,R,R,D.J.,Houlton
howarfr01,,102842,1936,8,8,Frank,Howard,USA,255,79,R,R,Frank,Howard,United States,256,79,R,R,Frank,Howard,,,,,,,
howarsp01,,23725150,1996,7,28,Spencer,Howard,USA,210,75,R,R,Spencer,Howard,0,209,75,R,R,Spencer,Howard,,,,,,,
howelja02,,104108,1961,8,18,Jack,Howell,USA,180,72,L,R,Jack,Howell,United States,181,72,L,R,Jack,Howell,,,,,,,
hoyinja01,68730,,1989,5,18,Jared,Hoying,USA,205,75,L,R,Jared,Hoying,,,,,,,,United States,203,75,L,R,Jared,Hoying
huberju01,,105749,1982,7,1,Justin,Huber,Australia,200,74,R,R,Justin,Huber,Australia,190,73,R,R,Justin,Huber,,,,,,,
hudlere01,,104170,1960,9,2,Rex,Hudler,USA,180,73,R,R,Rex,Hudler,United States,181,73,R,R,Rex,Hudler,,,,,,,
huffda01,66138,106639,1984,8,22,David,Huff,USA,210,73,B,L,David,Huff,United States,209,73,B,L,David,Huff,United States,194,72,L,L,David,Huff
huffmch01,,106157,1985,4,29,Chad,Huffman,USA,215,73,R,R,Chad,Huffman,United States,216,72,R,R,Chad,Huffman,,,,,,,
hughetr01,,105561,1978,5,25,Travis,Hughes,USA,235,77,R,R,Travis,Hughes,United States,236,77,R,R,Travis,Hughes,,,,,,,
humbeph01,65659,,1982,12,21,Philip,Humber,USA,215,75,R,R,Philip,Humber,,,,,,,,United States,209,75,R,R,Philip,Humber
hurstji01,,105086,1972,3,1,Jimmy,Hurst,USA,225,78,R,R,Jimmy,Hurst,United States,225,78,R,R,Jimmy,Hurst,,,,,,,
hurstjo01,,104877,1966,10,20,Jonathan,Hurst,USA,175,75,R,R,Jonathan,Hurst,United States,174,75,R,R,Jonathan,Hurst,,,,,,,
hurtaed01,74123,104611,1970,2,1,Edwin,Hurtado,Venezuela,215,75,R,R,Edwin,Hurtado,Venezuela,216,75,R,R,Edwin,Hurtado,Venezuela,194,74,R,R,Edwin,Hurtado
hwangja01,76313,,1987,7,28,Jae-Gyun,Hwang,South Korea,215,72,R,R,Jae-gyun,Hwang,,,,,,,,South Korea,212,72,R,R,Jae-Gyun,Hwang
hyzduad01,,105449,1971,12,6,Adam,Hyzdu,USA,210,74,R,R,Adam,Hyzdu,United States,209,74,R,R,Adam,Hyzdu,,,,,,,
igarary01,,104756,1979,5,28,Ryota,Igarashi,Japan,200,71,R,R,Ryota,Igarashi,Japan,209,70,R,R,Ryota,Igarashi,,,,,,,
igawake01,,104759,1979,7,13,Kei,Igawa,Japan,210,73,L,L,Kei,Igawa,Japan,205,73,L,L,Kei,Igawa,,,,,,,
iguchta01,,104557,1974,12,4,Tadahito,Iguchi,Japan,185,70,R,R,Tadahito,Iguchi,Japan,185,70,R,R,Tadahito,Iguchi,,,,,,,
imanash01,,106391,1993,9,1,Shota,Imanaga,Japan,175,70,L,L,Shota,Imanaga,Japan,183,70,L,L,Shota,Imanaga,,,,,,,
incavpe01,,104323,1964,4,2,Pete,Incaviglia,USA,225,73,R,R,Pete,Incaviglia,United States,225,73,R,R,Pete,Incaviglia,,,,,,,
irabuhi01,,103821,1969,5,5,Hideki,Irabu,Japan,240,76,R,R,Hideki,Irabu,Japan,240,76,R,R,Hideki,Irabu,,,,,,,
irelati01,,103377,1953,3,14,Tim,Ireland,USA,180,72,B,R,Tim,Ireland,United States,181,72,B,R,Tim,Ireland,,,,,,,
irvinco01,55257,,1994,1,31,Cole,Irvin,USA,217,76,L,L,Cole,Irvin,,,,,,,,United States,225,76,L,L,Cole,Irvin
irwinph01,65036,,1987,2,25,Phil,Irwin,USA,210,75,R,R,Phil,Irwin,,,,,,,,United States,209,75,R,R,Phil,Irwin
ishiika01,,104164,1973,9,9,Kazuhisa,Ishii,Japan,215,72,L,L,Kazuhisa,Ishii,Japan,220,73,L,L,Kazuhisa,Ishii,,,,,,,
iwakuhi01,,104969,1981,4,12,Hisashi,Iwakuma,Japan,210,75,R,R,Hisashi,Iwakuma,Japan,209,75,R,R,Hisashi,Iwakuma,,,,,,,
iwamuak01,,104668,1979,2,9,Akinori,Iwamura,Japan,200,69,L,R,Akinori,Iwamura,Japan,203,69,L,R,Akinori,Iwamura,,,,,,,
jacksan01,,43745159,1996,5,1,Andre,Jackson,USA,210,75,R,R,Andre,Jackson,0,209,75,R,R,Andre,Jackson,,,,,,,
jacksda03,,104320,1963,8,22,Darrin,Jackson,USA,185,72,R,R,Darrin,Jackson,United States,185,72,R,R,Darrin,Jackson,,,,,,,
jacksja01,,106380,1987,10,27,Jay,Jackson,USA,195,73,R,R,Jay,Jackson,United States,194,73,R,R,Jay,Jackson,,,,,,,
jackslo01,,102270,1935,7,26,Lou,Jackson,USA,168,70,L,R,Lou,Jackson,United States,168,70,L,R,Lou,Jackson,,,,,,,
jacobbr01,,104169,1959,11,23,Brook,Jacoby,USA,175,71,R,R,Brook,Jacoby,United States,174,71,R,R,Brook,Jacoby,,,,,,,
jacomja01,,104688,1970,11,24,Jason,Jacome,USA,155,73,L,L,Jason,Jacome,United States,154,73,L,L,Jason,Jacome,,,,,,,
jamesdi01,,104252,1962,11,9,Dion,James,USA,170,73,L,L,Dion,James,United States,170,73,L,L,Dion,James,,,,,,,
jamessk01,,103164,1949,10,21,Skip,James,USA,185,72,L,L,Skip,James,United States,185,72,L,L,Skip,James,,,,,,,
jarvike01,,104609,1969,8,1,Kevin,Jarvis,USA,200,74,L,R,Kevin,Jarvis,United States,201,74,L,R,Kevin,Jarvis,,,,,,,
jeffere01,,104774,1968,9,25,Reggie,Jefferson,USA,210,76,B,L,Reggie,Jefferson,United States,209,76,B,L,Reggie,Jefferson,,,,,,,
jennido01,,104325,1964,9,30,Doug,Jennings,USA,175,70,L,L,Doug,Jennings,United States,174,70,L,L,Doug,Jennings,,,,,,,
jenseky01,,106557,1988,5,20,Kyle,Jensen,USA,255,75,R,L,Kyle,Jensen,United States,240,75,R,L,Kyle,Jensen,,,,,,,
