npbbID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
450,100068,1936.1S,1,JBL,KINKO,9,24,4,6,0,0,0,5,3,,4,1,,,6,0.25,0.25,,,,
451,100068,1936.2F,1,JBL,KINKO,22,64,7,12,1,0,0,6,4,,12,6,,,13,0.188,0.203,,,,
452,100068,1937.1S,1,JBL,KINKO,25,54,5,16,2,1,0,5,5,,10,6,,,20,0.296,0.37,,,,
453,100068,1937.2F,1,JBL,KINKO,23,45,4,5,0,0,0,1,0,,3,3,,,5,0.111,0.111,,,,
454,100069,1936.1S,1,JBL,OSAKA,11,25,5,6,1,0,0,0,0,,8,1,,,7,0.24,0.28,,,,
455,100069,1936.2F,1,JBL,OSAKA,21,44,6,11,2,0,0,5,1,,5,6,,,13,0.25,0.295,,,,
456,100069,1937.1S,1,JBL,OSAKA,36,80,10,17,2,1,0,9,3,,22,8,,,21,0.212,0.262,,,,
457,100069,1937.2F,1,JBL,OSAKA,24,69,9,18,2,0,0,12,0,,14,3,,,20,0.261,0.29,,,,
458,100069,1938.1S,1,JBL,OSAKA,18,53,9,10,2,0,1,8,1,,6,4,,,15,0.189,0.283,,,,
459,100069,1938.2F,1,JBL,OSAKA,30,80,8,23,5,1,0,13,3,,16,3,,,30,0.288,0.375,,,,
460,100069,1939,1,JBL,OSAKA,41,118,12,26,0,1,0,13,4,,15,11,,135.0,28,0.22,0.237,0.304,0.541,0.111,0.081
461,100069,1941,1,JBL,HANSHIN,39,134,5,31,6,1,0,7,0,,11,6,,,39,0.231,0.291,,,,
462,100069,1942,1,JBL,HANSHIN,95,282,29,68,3,4,0,26,24,1.0,30,19,,,79,0.241,0.28,,,,
463,100069,1943,1,JBL,HANSHIN,61,157,14,32,3,1,0,10,7,7.0,17,8,,,37,0.204,0.236,,,,
464,100069,1944,1,JBL,HANSHIN,26,94,15,28,4,1,0,14,18,1.0,18,9,,,34,0.298,0.362,,,,
465,100069,1946,1,JBL,OSAKA,85,279,39,81,8,4,2,40,9,6.0,42,15,,,103,0.29,0.369,,,,
466,100069,1947,1,JBL,OSAKA,54,97,14,23,8,0,2,16,3,3.0,15,9,,,37,0.237,0.381,,,,
467,100069,1948,1,JBL,OSAKA,94,241,18,64,9,3,0,27,12,3.0,14,15,,,79,0.266,0.328,,,,
468,100069,1949,1,JBL,OSAKA,54,67,2,16,3,0,0,16,0,2.0,6,7,,,19,0.239,0.284,,,,
469,100069,1950,1,CL,OSAKA,70,116,6,22,4,1,0,22,2,0.0,6,12,4.0,,28,0.19,0.241,,,,
470,100069,1951,1,CL,OSAKA,72,126,8,30,5,0,0,9,0,2.0,13,11,9.0,,35,0.238,0.278,,,,
471,100070,1936.1S,1,JBL,HANKYU,5,12,2,1,0,0,0,2,0,,2,3,,,1,0.083,0.083,,,,
472,100070,1936.2F,1,JBL,HANKYU,3,3,2,0,0,0,0,0,0,,3,2,,,0,0.0,0.0,,,,
473,100070,1941,1,JBL,NANKAI,7,12,2,4,0,0,1,5,0,,1,4,,,7,0.333,0.583,,,,
474,100070,1942,1,JBL,NANKAI,4,2,0,0,0,0,0,0,0,0.0,0,1,,,0,0.0,0.0,,,,
